שם מלא,בית ספר,זכר - נקבה,שנת סיום,תאריך לידה,עיר,מגמה,תאריך גיוס,תאריך שחרור
סאמר עוזרי,ירושלים בית הערבה,זכר,"תשפ""ד",2002-12-22,מבשרת ציון,תקשוב,,
מרים סלים,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2003-12-27,מבשרת ציון,מחשבים,,
גיא כרמלי,ירושלים בית הערבה,זכר,,2004-11-07,אפרת,,2020-06-20,
רותם טויטו,צור ברק,נקבה,"תשפ""ב",2000-07-25,ירושלים,מחשבים,2020-09-07,
איתי כרמלי,ירושלים בית הערבה,זכר,"תשפ""א",2000-12-07,מעלה אדומים,מערכות סיב````ם תיב````ם,,
תומר לוי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2000-02-03,הר אדר,מחשבים,,
בר שפירא,עכו מרום,זכר,"תשפ""ג",2002-10-08,גבעת זאב,תקשוב,2023-12-07,
ניצן ברק,ירושלים בית הערבה,נקבה,"תשפ""ג",2003-07-13,מבשרת ציון,אוטוטרוניקה,,
נדב מנסור,בית שאן,זכר,"תשפ""ד",2000-03-07,מבשרת ציון,תקשוב(חנמ),,
נדב לוי,מוצקין,זכר,"תשפ""ד",2001-05-06,מודיעין,אוטוטרוניקה,,
אורי עבד אלחק,עכו מרום,זכר,"תשפ""ג",2006-12-13,ירושלים,עיצוב(חנמ),,
אריאל חיים,צור ברק,זכר,"תשע""ט",2007-07-16,בית שמש,אוטוטרוניקה,2023-01-27,
נתנאל וקנין,אורט אדיבי אשקלון,זכר,"תשפ""ד",2000-09-04,בית שמש,,,
לינוי חיים,ירושלים בית הערבה,נקבה,"תשפ""ב",2002-03-23,גבע בנימין,,,
תומר קלימי,ירושלים בית הערבה,זכר,"תשפ""ד",2000-09-30,הר אדר,מערכות סיב````ם תיב````ם,,
אורי מוסקוביץ,עכו מרום,זכר,"תשפ""ג",2000-09-30,מודיעין,מלונאות,,
ניצן תורגמן,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2003-04-03,ירושלים,אוטוטרוניקה,,
הראל אזולאי,עכו מרום,זכר,"תשפ""ה",2001-01-12,מודיעין,אוטוטרוניקה,,
ניצן שטרית,ירושלים בית הערבה,נקבה,"תשע""ח",2002-02-05,מבשרת ציון,עיצוב שיער,,
עדי טל,ירושלים בית הערבה,נקבה,"תשע""ט",2000-02-15,גבעת זאב,,,
הראל גבאי,ירושלים בית הערבה,זכר,,2007-10-26,אבן ספיר,,,
אריאל חטיב,ירושלים בית הערבה,זכר,,2005-06-06,אבן ספיר,מערכות הספק פיקוד ובקרה,2022-09-25,
אריאל ביטון,עכו מרום,זכר,"תשפ""ב",2000-03-04,מעלה אדומים,תקשוב(חנמ),,
כרים נסראללה,אורט אדיבי אשקלון,זכר,"תשפ""ב",2001-12-26,צור הדסה,תקשוב,,
שחר אלמוג,אורט אדיבי אשקלון,זכר,"תשפ""ב",2007-02-28,הר אדר,עיצוב שיער,,
סלמא בן דוד,עכו מרום,נקבה,"תשפ""ג",2002-06-02,ירושלים,תקשוב,,
שקד אוחיון,עכו מרום,נקבה,"תשפ""ג",2002-08-06,הר אדר,מחשבים,,
שקד דראושה,ירושלים בית הערבה,נקבה,"תשפ""ב",2006-09-10,גבעת זאב,מערכות סיב````ם תיב````ם,,
אריאל עטיה,ירושלים בית הערבה,זכר,"תש""ף",2006-07-08,ירושלים,מערכות תיכון וייצר באמצעות מחשב,,
מרים תורגמן,עכו מרום,נקבה,"תשפ""ה",2007-01-06,מודיעין,מערכות הספק פיקוד ובקרה,,
הראל פרץ,ירושלים בית הערבה,זכר,"תש""ף",2003-03-03,מודיעין,אוטוטרוניקה,,
אלעד סויסה,ירושלים בית הערבה,זכר,"תשפ""ד",2006-01-31,אבן ספיר,עיצוב(חנמ),,
נור אוחיון,ירושלים בית הערבה,נקבה,"תש""ף",2001-07-26,ירושלים,התמחות יישומי אוטו-טק,,
מאהר סלומון,ירושלים בית הערבה,זכר,"תשפ""ה",2006-06-25,מבשרת ציון,מערכות הספק פיקוד ובקרה,,
כרים אוחיון,אורט אדיבי אשקלון,זכר,"תשפ""ד",2007-02-09,אפרת,אוטוטרוניקה,,
אביב כרמלי,ירושלים בית הערבה,זכר,"תשפ""ד",2005-06-10,גבע בנימין,עיצוב(חנמ),,
לינוי חוראני,ירושלים בית הערבה,נקבה,"תש""ף",2000-09-14,,עיצוב שיער,,
עלי פרץ,אורט אדיבי אשקלון,זכר,"תשע""ח",2002-11-09,ירושלים,מערכות הספק פיקוד ובקרה,2025-09-10,
ליאור שפירא,אורט אדיבי אשקלון,זכר,"תשע""ט",2006-04-19,בית שמש,מלונאות,,
סאמר ביטון,אורט אדיבי אשקלון,זכר,"תשפ""ג",2001-09-22,ירושלים,מחשבים,,
שי זכריה,אורט אדיבי אשקלון,זכר,"תשע""ט",2002-03-16,גבעת זאב,תחזוקת מערכות מכניות,,
יובל ביטון,צור ברק,נקבה,"תשפ""ד",2004-01-24,מעלה אדומים,מערכות סיב````ם תיב````ם,,
אלון ביטון,צור ברק,זכר,"תש""ף",2005-03-01,קרית יערים,אוטוטרוניקה,2021-03-13,
מוחמד מוסקוביץ,עכו מרום,זכר,"תשפ""ד",2007-08-25,גבע בנימין,תחזוקת מערכות מכניות,,
שקד קלימי,אורט אדיבי אשקלון,נקבה,"תשפ""א",2002-02-13,,בישול מלונאי,,
נועה כרמלי,ירושלים בית הערבה,נקבה,"תשפ""ד",2004-07-24,מעלה אדומים,בישול מלונאי,,
אריאל יפרח,צור ברק,זכר,"תשפ""ב",2002-11-22,אבן ספיר,תקשוב(חנמ),,
יהונתן רחמים,ירושלים בית הערבה,זכר,"תשפ""ד",2006-01-05,מעלה אדומים,תקשוב(חנמ),2021-05-08,
לינוי שפירא,ירושלים בית הערבה,נקבה,"תשפ""ב",2000-01-20,הר אדר,מחשבים,,
אור נסראללה,עכו מרום,נקבה,"תשפ""ב",2000-08-16,בית שמש,מחשבים,,
מרים פלד,ירושלים בית הערבה,נקבה,"תשפ""ד",2006-09-24,מעלה אדומים,תחזוקת מערכות מכניות,,
הראל דוד,ירושלים בית הערבה,זכר,"תשפ""ד",2003-08-16,צור הדסה,תקשוב,,
רועי לביא,ירושלים בית הערבה,זכר,"תשפ""ה",2001-06-20,אפרת,תחזוקת מערכות מכניות,,
גיא סלים,ירושלים בית הערבה,זכר,"תש""ף",2002-01-15,צור הדסה,עיצוב שיער,2022-12-24,
אחמד סלים,עכו מרום,זכר,"תשע""ח",2006-12-13,גבעת זאב,מערכות תיכון וייצר באמצעות מחשב,2020-10-19,
עומר חוראני,ירושלים בית הערבה,זכר,"תשפ""ה",2002-02-17,קרית יערים,התמחות יישומי אוטו-טק,,
אחמד יפרח,ירושלים בית הערבה,זכר,"תש""ף",2004-04-17,מבשרת ציון,תקשוב(חנמ),,
ליאור עמר,בית שאן,זכר,"תשפ""ד",2003-05-05,גבעת זאב,עיצוב,2022-05-16,
אביב רוזן,עכו מרום,זכר,"תשפ""ג",2000-09-05,מודיעין,מערכות הספק פיקוד ובקרה,,
נועם מנסור,ירושלים בית הערבה,זכר,"תשפ""ג",2007-08-17,אבן ספיר,התמחות יישומי אוטו-טק,,
יוסף וקנין,צור ברק,זכר,"תשפ""ג",2000-12-10,מבשרת ציון,יישומי עיצוב שיער וטיפוח החן,,
רוני שרעבי,עכו מרום,נקבה,"תשפ""ה",2004-05-02,קרית יערים,מחשבים,,
כרים סבג,מוצקין,זכר,"תש""ף",2003-01-10,בית שמש,,,
מאהר מנסור,בית שאן,זכר,"תשפ""ד",2007-02-28,מעלה אדומים,תקשוב(חנמ),,
אלה בן שימול,עכו מרום,נקבה,"תשפ""ד",2002-07-22,צור הדסה,מחשבים,,
יובל ברששת,עכו מרום,נקבה,"תשפ""ב",2007-08-06,מעלה אדומים,מחשבים,,
מאהר אבו ראס,עכו מרום,זכר,"תשפ""ה",2001-09-13,צור הדסה,אוטוטרוניקה,2019-05-26,2027-10-15
תומר מוסקוביץ,ירושלים בית הערבה,זכר,"תש""ף",2000-11-25,מבשרת ציון,אוטוטרוניקה,,
שקד נגר,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2002-04-06,צור הדסה,עיצוב שיער,,
כרים תורגמן,מוצקין,זכר,"תשפ""ה",2002-01-04,הר אדר,עיצוב(חנמ),,
עלי עטיה,עכו מרום,זכר,"תשפ""ב",2006-08-25,אפרת,יישומי עיצוב שיער וטיפוח החן(חנמ),,
עומר בן דוד,ירושלים בית הערבה,זכר,"תשפ""ג",2006-05-01,קרית יערים,מחשבים,,
נועם רחמים,מוצקין,זכר,"תשפ""ד",2007-06-27,בית שמש,בישול מלונאי,,
עמית סרסור,ירושלים בית הערבה,זכר,"תשפ""ה",2000-11-08,,עיצוב,,
סאמר עמר,אורט אדיבי אשקלון,זכר,"תשפ""ד",2006-01-02,גבעת זאב,אוטוטרוניקה,2024-01-20,
תמר רחמים,עכו מרום,נקבה,"תשפ""ד",2003-09-23,ירושלים,יישומי עיצוב שיער וטיפוח החן,,
רן נאור,עכו מרום,זכר,"תשפ""ב",2000-08-07,הר אדר,,,
אלה אוחיון,אורט אדיבי אשקלון,נקבה,"תשע""ט",2001-10-24,גבע בנימין,עיצוב,,
שקד רוזן,ירושלים בית הערבה,נקבה,"תשפ""ב",2004-02-23,הר אדר,מערכות תיכון וייצר באמצעות מחשב,,
נדב סעדה,עכו מרום,זכר,"תשע""ט",2002-07-21,אפרת,התמחות יישומי אוטו-טק,,
נטע פלד,עכו מרום,נקבה,,2001-08-05,בית שמש,מערכות סיב````ם תיב````ם,,
רן שרעבי,מוצקין,זכר,"תשפ""ב",2005-02-17,הר אדר,עיצוב שיער,,
שקד פלד,עכו מרום,נקבה,"תשע""ח",2004-01-01,קרית יערים,מלונאות,,
חסן כרמלי,עכו מרום,זכר,"תשפ""ג",2007-01-13,ירושלים,תקשוב,,
שקד נסראללה,ירושלים בית הערבה,נקבה,"תשפ""ג",2006-08-09,צור הדסה,תקשוב,,
אור וקנין,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2006-06-22,גבע בנימין,,,
שחר עואד,אורט אדיבי אשקלון,זכר,"תשפ""ה",2001-03-19,הר אדר,מערכות תיכון וייצר באמצעות מחשב,,
רותם רוזן,מוצקין,נקבה,"תשפ""ג",2006-06-13,אבן ספיר,,,
חסן צדוק,עכו מרום,זכר,"תשפ""ג",2003-07-20,צור הדסה,עיצוב,,
שחר שרעבי,בית שאן,זכר,"תשע""ט",2001-12-10,ירושלים,אוטוטרוניקה,,
עומר נסראללה,אורט אדיבי אשקלון,זכר,"תשפ""ה",2002-05-02,מבשרת ציון,מערכות סיב````ם תיב````ם,,
יובל עבד אלחק,אורט אדיבי אשקלון,זכר,"תשפ""ב",2007-04-24,בית שמש,,,
עדי דראושה,ירושלים בית הערבה,נקבה,"תשפ""ג",2006-05-19,צור הדסה,תקשוב(חנמ),,
טל אלמוג,ירושלים בית הערבה,נקבה,"תשפ""ב",2002-02-12,מבשרת ציון,התמחות יישומי אוטו-טק,2020-12-11,
ליאור עואד,ירושלים בית הערבה,זכר,"תשפ""ה",2001-09-14,צור הדסה,מחשבים,,
אלעד כהן,עכו מרום,זכר,"תשפ""ג",2004-05-06,הר אדר,תקשוב,2024-02-11,
אלעד לביא,ירושלים בית הערבה,זכר,"תשע""ט",2003-02-20,בית שמש,מחשבים,,
אלון סרסור,מוצקין,זכר,"תשפ""ג",2004-11-13,בית שמש,תקשוב,,
רן לביא,עכו מרום,זכר,"תשפ""ד",2004-12-08,הר אדר,עיצוב שיער,,2026-03-14
יוסף נחום,ירושלים בית הערבה,זכר,"תשפ""ג",2005-11-09,מודיעין,תקשוב,,
הראל אשכנזי,אורט אדיבי אשקלון,זכר,"תשפ""ג",2002-08-13,ירושלים,עיצוב,,
חסן אברהם,אורט אדיבי אשקלון,זכר,"תשפ""ה",2006-05-06,,עיצוב שיער,,
דועא זועבי,מוצקין,נקבה,"תשע""ח",2004-06-13,קרית יערים,אוטוטרוניקה,,
תומר ברששת,ירושלים בית הערבה,זכר,"תשפ""ה",2006-07-21,קרית יערים,יישומי עיצוב שיער וטיפוח החן,,
יהונתן וקנין,עכו מרום,זכר,"תשפ""ה",2007-04-30,ירושלים,מערכות הספק פיקוד ובקרה,,
שחר דהן,בית שאן,זכר,"תש""ף",2004-03-03,צור הדסה,תחזוקת מערכות מכניות(חנמ),2024-10-05,
אורי ביטון,עכו מרום,זכר,"תשפ""ה",2006-11-03,קרית יערים,,,
אביב אשכנזי,ירושלים בית הערבה,זכר,"תשפ""ג",2002-12-31,אבן ספיר,אוטוטרוניקה,,
תומר פרידמן,ירושלים בית הערבה,זכר,"תש""ף",2007-09-17,גבע בנימין,מערכות הספק פיקוד ובקרה,,
מוחמד לביא,מוצקין,זכר,"תשפ""ג",2003-01-10,הר אדר,תקשוב(חנמ),,
אלון אגבאריה,עכו מרום,זכר,"תשפ""ה",2004-05-24,הר אדר,,,
חסן נגר,ירושלים בית הערבה,זכר,"תש""ף",2007-12-08,אפרת,מחשבים,2022-11-08,
אביגיל רוזן,עכו מרום,נקבה,"תשפ""ה",2004-07-26,מבשרת ציון,תחזוקת מערכות מכניות(חנמ),2021-05-25,
חסן אוחיון,מוצקין,זכר,"תשפ""ה",2000-03-17,אבן ספיר,עיצוב שיער,,
שי כהן,ירושלים בית הערבה,זכר,"תשפ""ה",2003-11-16,,אוטוטרוניקה,,
לינוי אבו ראס,עכו מרום,נקבה,"תשפ""ב",2001-06-26,מודיעין,תחזוקת מערכות מכניות,,
רועי סעדה,ירושלים בית הערבה,זכר,"תש""ף",2005-02-13,אבן ספיר,,,
עמית כהן,ירושלים בית הערבה,זכר,"תש""ף",2000-05-06,צור הדסה,עיצוב שיער,2024-02-09,
אריאל עואד,צור ברק,זכר,"תשפ""ב",2003-06-21,מבשרת ציון,מחשבים,,
אור רוזן,ירושלים בית הערבה,נקבה,"תשפ""ה",2003-07-04,מבשרת ציון,תקשוב,,
נתנאל זועבי,עכו מרום,זכר,"תשפ""ד",2001-12-14,גבעת זאב,עיצוב(חנמ),,
הילה סרסור,ירושלים בית הערבה,נקבה,"תש""ף",2002-11-16,בית שמש,תחזוקת מערכות מכניות,,
כרים אבו ראס,עכו מרום,זכר,"תשפ""ה",2001-05-15,גבע בנימין,מערכות סיב````ם תיב````ם,,
איתי אוחיון,אורט אדיבי אשקלון,זכר,"תשפ""א",2000-12-04,מעלה אדומים,מערכות סיב````ם תיב````ם,,
אלה דוד,ירושלים בית הערבה,נקבה,"תשפ""א",2001-06-08,מודיעין,בישול מלונאי,,
עלי נגר,ירושלים בית הערבה,זכר,"תשע""ט",2006-07-17,אבן ספיר,עיצוב(חנמ),,
מתן ברק,ירושלים בית הערבה,זכר,"תשפ""ד",2005-08-15,אבן ספיר,יישומי עיצוב שיער וטיפוח החן,,
שחר רחמים,ירושלים בית הערבה,זכר,"תשפ""ב",2004-03-22,מודיעין,מערכות הספק פיקוד ובקרה,,
עומר מלכה,ירושלים בית הערבה,זכר,"תשפ""ה",2006-07-15,קרית יערים,עיצוב,,
יונתן חטיב,ירושלים בית הערבה,זכר,"תשפ""ד",2002-01-31,אבן ספיר,מערכות סיב````ם תיב````ם,,
דניאל זכריה,אורט אדיבי אשקלון,זכר,"תשפ""ג",2002-04-11,הר אדר,תקשוב,,
דנה טל,ירושלים בית הערבה,נקבה,"תשפ""ה",2002-06-03,גבע בנימין,,2023-12-27,2025-03-02
עומר פלד,מוצקין,זכר,"תש""ף",2005-09-16,אפרת,מחשבים,,
דנה פלד,אורט אדיבי אשקלון,נקבה,"תשפ""א",2002-08-09,מודיעין,תקשוב,,
מתן דראושה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2002-05-03,מודיעין,עיצוב,,
נועם טהא,אורט אדיבי אשקלון,זכר,"תשפ""ד",2007-09-05,ירושלים,התמחות יישומי אוטו-טק,2024-06-30,
ניצן כרמלי,מוצקין,נקבה,"תשפ""ד",2002-05-20,מבשרת ציון,אוטוטרוניקה,,
מרים צדוק,עכו מרום,נקבה,"תשפ""ד",2005-11-22,מבשרת ציון,תקשוב,,
רועי ברק,מוצקין,זכר,"תשפ""א",2001-03-07,,התמחות יישומי אוטו-טק,,
עדי סבג,בית שאן,נקבה,"תשפ""ב",2003-02-13,הר אדר,תקשוב,,
אביב צדוק,אורט אדיבי אשקלון,זכר,"תש""ף",2003-12-23,מבשרת ציון,מערכות תיכון וייצר באמצעות מחשב,,
בר מנסור,ירושלים בית הערבה,זכר,"תשפ""ה",2002-02-11,ירושלים,,,
חסן סבג,מוצקין,זכר,"תשפ""ד",2001-04-27,גבע בנימין,עיצוב שיער,,
עמית נסראללה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-08-04,צור הדסה,מחשבים,,
שי חטיב,אורט אדיבי אשקלון,זכר,"תשפ""ג",2003-02-19,,תחזוקת מערכות מכניות,,
אריאל צדוק,צור ברק,זכר,"תשע""ט",2005-10-15,קרית יערים,תקשוב,,
מרים שרעבי,עכו מרום,נקבה,"תשפ""ה",2005-06-09,אפרת,,,
יונתן צדוק,עכו מרום,זכר,"תשפ""ד",2006-10-31,ירושלים,עיצוב(חנמ),,
אריאל עוזרי,ירושלים בית הערבה,זכר,"תש""ף",2004-03-08,קרית יערים,עיצוב(חנמ),,
אלעד מנסור,מוצקין,זכר,"תשפ""ד",2007-11-05,אפרת,מחשבים,,
יהונתן אזולאי,צור ברק,זכר,"תשפ""א",2000-10-03,גבעת זאב,עיצוב שיער,,
אלה נחום,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2001-08-23,ירושלים,תקשוב,,
רן נגר,ירושלים בית הערבה,זכר,"תשפ""ד",2003-06-11,מודיעין,אוטוטרוניקה,,
דניאל טויטו,אורט אדיבי אשקלון,זכר,"תשפ""ד",2001-05-13,אפרת,תקשוב,,
נטע מזרחי,עכו מרום,נקבה,"תשפ""ב",2003-06-19,קרית יערים,תקשוב(חנמ),,
נטע סבג,מוצקין,נקבה,"תשפ""ה",2002-06-23,אבן ספיר,תקשוב,,
מתן לוי,ירושלים בית הערבה,זכר,"תשפ""ג",2005-05-21,אבן ספיר,תקשוב,,
אסף קלימי,אורט אדיבי אשקלון,זכר,"תש""ף",2001-05-10,גבעת זאב,מחשבים,,
יהונתן לוי,עכו מרום,זכר,"תשפ""ה",2000-11-18,אפרת,תחזוקת מערכות מכניות,,
סאמר דהן,אורט אדיבי אשקלון,זכר,"תשפ""ה",2001-01-18,קרית יערים,תחזוקת מערכות מכניות,,
גיא סבג,עכו מרום,זכר,"תשפ""ד",2004-11-26,צור הדסה,תקשוב,,
אלון נאור,בית שאן,זכר,"תשפ""ד",2006-01-09,מבשרת ציון,התמחות יישומי אוטו-טק,,
נדב חטיב,ירושלים בית הערבה,זכר,"תשפ""ב",2006-03-16,ירושלים,,,
יעל נגר,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2006-04-20,בית שמש,תחזוקת מערכות מכניות,,
ספיר שרעבי,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2002-07-18,מעלה אדומים,מחשבים,,
מוחמד כרמלי,אורט אדיבי אשקלון,זכר,"תשפ""ה",2003-03-04,גבעת זאב,אוטוטרוניקה,,
עדי סרסור,ירושלים בית הערבה,נקבה,"תשע""ח",2002-04-24,מבשרת ציון,התמחות יישומי אוטו-טק,,
נור דהן,ירושלים בית הערבה,נקבה,"תשפ""ד",2007-05-11,מעלה אדומים,עיצוב(חנמ),,
הראל תורגמן,בית שאן,זכר,"תשפ""ד",2003-03-06,מבשרת ציון,עיצוב שיער,,
אריאל נאור,אורט אדיבי אשקלון,זכר,"תשפ""ד",2002-05-08,מודיעין,,,
תומר בן דוד,עכו מרום,זכר,"תשפ""ד",2004-05-24,אבן ספיר,תקשוב,,
נור כהן,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2005-05-18,בית שמש,עיצוב(חנמ),,
ניצן חדד,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2006-03-31,גבעת זאב,עיצוב שיער,,
סאמר סעדה,ירושלים בית הערבה,זכר,"תשפ""ה",2005-11-07,הר אדר,תקשוב(חנמ),,
יהונתן סעדה,עכו מרום,זכר,"תשפ""ה",2000-08-14,גבע בנימין,מחשבים,,
רועי ביטון,עכו מרום,זכר,"תשפ""ג",2006-04-24,גבעת זאב,,2024-01-01,
איתי וקנין,ירושלים בית הערבה,זכר,"תשפ""ב",2002-04-11,גבע בנימין,עיצוב,,
עידו לביא,עכו מרום,זכר,"תשפ""ב",2003-09-01,הר אדר,מחשבים,,
יהונתן כהן,אורט אדיבי אשקלון,זכר,"תשפ""ב",2002-05-23,בית שמש,,,2026-03-19
חסן אלבז,עכו מרום,זכר,"תש""ף",2005-04-04,צור הדסה,מערכות סיב````ם תיב````ם,,
נור אלמוג,אורט אדיבי אשקלון,נקבה,"תש""ף",2002-07-01,אפרת,מחשבים,,
אורי נגר,עכו מרום,זכר,"תשפ""א",2006-11-13,,עיצוב שיער,,
אלה כרמלי,אורט אדיבי אשקלון,נקבה,,2002-09-25,מבשרת ציון,מערכות הספק פיקוד ובקרה,2020-08-17,
עומר קלימי,ירושלים בית הערבה,זכר,"תשפ""ד",2006-07-02,קרית יערים,עיצוב שיער,,
עידו אברהם,מוצקין,זכר,"תשפ""ב",2000-03-25,מודיעין,תחזוקת מערכות מכניות,,
אמל פלד,ירושלים בית הערבה,נקבה,"תשפ""ג",2005-03-14,מעלה אדומים,עיצוב,,
יהונתן עמר,אורט אדיבי אשקלון,זכר,"תשפ""ב",2004-09-09,גבעת זאב,אוטוטרוניקה,,
איתי פרץ,עכו מרום,זכר,"תשע""ט",2000-03-24,הר אדר,עיצוב,2019-03-11,
גיא יפרח,אורט אדיבי אשקלון,זכר,"תשפ""ה",2007-04-19,ירושלים,עיצוב,,
יעל סרסור,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2003-08-12,הר אדר,בישול מלונאי,,
סאמר מנסור,ירושלים בית הערבה,זכר,"תשע""ט",2003-10-27,מודיעין,,,
ליאור טל,מוצקין,נקבה,"תשפ""ג",2001-08-06,צור הדסה,,,
ספיר מזרחי,צור ברק,נקבה,"תשפ""ב",2001-05-31,בית שמש,,,
אריאל אוחיון,אורט אדיבי אשקלון,זכר,"תשפ""ה",2005-02-16,אפרת,,,
ריהאם רוזן,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2007-11-08,מבשרת ציון,אוטוטרוניקה,,
דניאל דהן,עכו מרום,זכר,"תשע""ט",2002-06-24,גבעת זאב,תקשוב,,
רועי סרסור,עכו מרום,זכר,"תשפ""ד",2001-08-24,אפרת,תקשוב,,
אלון בן דוד,עכו מרום,זכר,"תשע""ח",2001-10-13,מודיעין,עיצוב שיער,,
אורי נאור,אורט אדיבי אשקלון,זכר,"תשפ""ה",2000-03-27,מבשרת ציון,,2019-08-24,
עלי ברק,עכו מרום,זכר,"תשפ""ג",2003-09-18,הר אדר,תקשוב,,
יעל קדוש,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2005-10-12,ירושלים,אוטוטרוניקה,,
ספיר בן שימול,אורט אדיבי אשקלון,נקבה,"תש""ף",2002-01-13,צור הדסה,תקשוב(חנמ),,
תמר זועבי,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2003-07-25,קרית יערים,,,
יוסף ברששת,ירושלים בית הערבה,זכר,"תשפ""ג",2001-10-12,מודיעין,תחזוקת מערכות מכניות,,
שקד וקנין,בית שאן,נקבה,"תש""ף",2003-06-08,מודיעין,עיצוב שיער,,
מוחמד בן דוד,עכו מרום,זכר,"תשפ""ג",2003-06-16,אפרת,התמחות יישומי אוטו-טק,,
שירה גבאי,עכו מרום,נקבה,"תש""ף",2004-09-21,,התמחות יישומי אוטו-טק,,
בר אלמוג,בית שאן,זכר,"תשפ""א",2000-09-18,בית שמש,תקשוב,,
אסף רחמים,ירושלים בית הערבה,זכר,"תשפ""ד",2002-06-01,אפרת,,2022-04-01,
מאהר צדוק,ירושלים בית הערבה,זכר,"תשפ""ג",2001-03-01,אבן ספיר,אוטוטרוניקה,,
אביגיל עבד אלחק,עכו מרום,נקבה,"תשפ""ה",2006-11-14,ירושלים,,,
בר דראושה,עכו מרום,זכר,"תשפ""ג",2003-02-26,בית שמש,תחזוקת מערכות מכניות,,
עמית אלמוג,ירושלים בית הערבה,זכר,"תשפ""ג",2000-11-25,בית שמש,מלונאות,,
מאיה ביטון,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2007-03-04,אבן ספיר,מערכות סיב````ם תיב````ם,,
אמל סלומון,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2002-07-08,ירושלים,מחשבים,,
אריאל סויסה,צור ברק,זכר,"תשפ""ה",2005-11-30,מבשרת ציון,אוטוטרוניקה,,
שחר אלבז,עכו מרום,זכר,"תשפ""ה",2007-10-22,הר אדר,מלונאות,,
דנה מזרחי,מוצקין,נקבה,"תשפ""ד",2004-07-25,קרית יערים,אוטוטרוניקה,,
חסן דראושה,ירושלים בית הערבה,זכר,"תשפ""ג",2006-09-07,ירושלים,תקשוב,,
אור כרמלי,עכו מרום,נקבה,"תשע""ח",2005-07-17,גבע בנימין,אוטוטרוניקה,,
סאמר ברששת,ירושלים בית הערבה,זכר,"תשפ""ה",2002-11-30,מודיעין,מערכות תיכון וייצר באמצעות מחשב,,
ריהאם חוראני,ירושלים בית הערבה,נקבה,"תשע""ט",2000-04-05,בית שמש,,,
חסן זועבי,בית שאן,זכר,"תשפ""ג",2004-10-17,אבן ספיר,עיצוב שיער,,
ניצן עואד,עכו מרום,נקבה,"תשפ""ה",2007-07-14,,מערכות סיב````ם תיב````ם,2024-10-09,
אחמד נגר,צור ברק,זכר,"תשפ""ב",2002-10-18,אבן ספיר,תקשוב,,
אלה חטיב,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2002-02-13,צור הדסה,עיצוב,,
שי רחמים,אורט אדיבי אשקלון,,"תשפ""ד",2002-11-07,גבע בנימין,,2023-09-11,
נור טויטו,אורט אדיבי אשקלון,נקבה,"תשפ""א",2003-03-15,מודיעין,אוטוטרוניקה,,
עומר מנסור,עכו מרום,זכר,"תשפ""ב",2006-02-28,מעלה אדומים,תקשוב,,
מאהר טויטו,עכו מרום,זכר,"תשפ""ה",2001-03-06,גבעת זאב,מחשבים,,
אחמד צדוק,עכו מרום,זכר,"תשפ""ג",2002-04-07,קרית יערים,עיצוב שיער,,
עלי כרמלי,ירושלים בית הערבה,זכר,"תשע""ח",2007-06-26,ירושלים,,,
סלמא לביא,עכו מרום,נקבה,"תשפ""א",2001-09-18,,תחזוקת מערכות מכניות,,
עומר אלבז,מוצקין,זכר,"תשע""ט",2003-01-11,מודיעין,מחשבים,,
רן טהא,אורט אדיבי אשקלון,זכר,"תש""ף",2007-02-25,גבעת זאב,אוטוטרוניקה,,
שקד טויטו,צור ברק,נקבה,"תשפ""ד",2001-10-25,הר אדר,,,
מאהר עבד אלחק,ירושלים בית הערבה,זכר,"תש""ף",2005-08-18,צור הדסה,מחשבים,,
רועי גבאי,עכו מרום,זכר,"תשע""ט",2007-01-22,אפרת,אוטוטרוניקה,,
אמל זכריה,עכו מרום,נקבה,"תש""ף",2006-04-13,אבן ספיר,מחשבים,2023-01-23,
אדם מלכה,ירושלים בית הערבה,זכר,"תשפ""ב",2000-10-26,ירושלים,תקשוב(חנמ),,
יובל חטיב,מוצקין,נקבה,"תשפ""ב",2005-02-21,אבן ספיר,עיצוב שיער,,
רוני בן דוד,עכו מרום,נקבה,"תשפ""ג",2001-10-01,הר אדר,תקשוב(חנמ),,
אחמד סלומון,ירושלים בית הערבה,זכר,"תשפ""ד",2002-12-13,צור הדסה,בישול מלונאי,,
